Age,Income,Student,Credit_Rating,Buys_Product
Middle-aged,Low,No,Fair,No
Old,Medium,No,Fair,No
Old,Low,No,Excellent,No
Middle-aged,High,Yes,Excellent,Yes
Young,Medium,Yes,Excellent,Yes
Middle-aged,High,No,Excellent,Yes
Middle-aged,Low,No,Excellent,No
Young,High,No,Fair,No
Old,High,No,Fair,No
Middle-aged,Medium,No,Excellent,No
Young,High,Yes,Fair,Yes
Middle-aged,Medium,No,Excellent,No
Young,Medium,Yes,Fair,Yes
Old,High,Yes,Fair,No
Young,High,Yes,Fair,Yes
Old,High,No,Excellent,Yes
Young,High,Yes,Fair,Yes
Old,Low,Yes,Fair,No
Middle-aged,Low,No,Excellent,No
Old,Medium,No,Fair,No
Middle-aged,High,Yes,Fair,No
Young,Low,Yes,Excellent,Yes
Old,High,No,Excellent,Yes
Old,Medium,No,Fair,No
Middle-aged,Low,Yes,Excellent,No
Old,Low,No,Fair,No
Old,Medium,No,Fair,No
Old,Low,Yes,Excellent,No
Old,Medium,No,Fair,No
Young,Medium,No,Excellent,No
